item,type,material,amount_of_material,crafting_station_level,crafting_station,upgrade_level
Iron Sledge,Upgrade,Iron,15,3,Forge,2
Iron Sledge,Upgrade,Ymir Flesh,2,3,Forge,2
Iron Sledge,Upgrade,Ancient Bark,4,4,Forge,3
Iron Sledge,Upgrade,Iron,30,4,Forge,3
Iron Sledge,Upgrade,Ymir Flesh,4,4,Forge,3
Iron Sledge,Upgrade,Ancient Bark,6,5,Forge,4
Iron Sledge,Upgrade,Iron,45,5,Forge,4
Iron Sledge,Upgrade,Ymir Flesh,6,5,Forge,4
Iron Sword,Sword,Wood,2,2,Forge,1
Iron Sword,Sword,Iron,20,2,Forge,1
Iron Sword,Sword,Leather Scraps,3,2,Forge,1
Iron Sword,Upgrade,Wood,1,3,Forge,2
Iron Sword,Upgrade,Iron,10,3,Forge,2
Iron Sword,Upgrade,Leather Scraps,2,3,Forge,2
Iron Sword,Upgrade,Wood,2,4,Forge,3
Iron Sword,Upgrade,Iron,20,4,Forge,3
Iron Sword,Upgrade,Leather Scraps,4,4,Forge,3
Iron Sword,Upgrade,Wood,3,5,Forge,4
Iron Sword,Upgrade,Iron,30,5,Forge,4
Iron Sword,Upgrade,Leather Scraps,6,5,Forge,4
Iron Tower Shield,Shield,Fine Wood,15,2,Forge,1
Iron Tower Shield,Shield,Iron,10,2,Forge,1
Iron Tower Shield,Upgrade,Fine Wood,10,3,Forge,2
Iron Tower Shield,Upgrade,Iron,5,3,Forge,2
Iron Tower Shield,Upgrade,Fine Wood,20,4,Forge,3
Iron Tower Shield,Upgrade,Iron,10,4,Forge,3
Ironhead Arrow,Arrow,Wood,8,2,Forge,1
Ironhead Arrow,Arrow,Iron,1,2,Forge,1
Ironhead Arrow,Arrow,Feathers,2,2,Forge,1
Jotun Bane,Axe,Yggdrasil Wood,5,1,Blackforge,1
Jotun Bane,Axe,Iron,15,1,Blackforge,1
Jotun Bane,Axe,Bilebag,3,1,Blackforge,1
Jotun Bane,Axe,Refined Eitr,10,1,Blackforge,1
Jotun Bane,Upgrade,Iron,10,2,Blackforge,2
Jotun Bane,Upgrade,Bilebag,1,2,Blackforge,2
Jotun Bane,Upgrade,Refined Eitr,1,2,Blackforge,2
Jotun Bane,Upgrade,Iron,20,3,Blackforge,3
Jotun Bane,Upgrade,Bilebag,2,3,Blackforge,3
Jotun Bane,Upgrade,Refined Eitr,2,3,Blackforge,3
Jotun Bane,Upgrade,Iron,30,4,Blackforge,4
Jotun Bane,Upgrade,Bilebag,3,4,Blackforge,4
Jotun Bane,Upgrade,Refined Eitr,3,4,Blackforge,4
Krom,Sword,Iron,30,1,Blackforge,1
Krom,Sword,Bronze,20,1,Blackforge,1
Krom,Sword,Scale Hide,5,1,Blackforge,1
Krom,Upgrade,Iron,15,2,Blackforge,2
Krom,Upgrade,Bronze,10,2,Blackforge,2
Krom,Upgrade,Scale Hide,5,2,Blackforge,2
Krom,Upgrade,Iron,30,3,Blackforge,3
Krom,Upgrade,Bronze,20,3,Blackforge,3
Krom,Upgrade,Scale Hide,10,3,Blackforge,3
Krom,Upgrade,Iron,45,4,Blackforge,4
Krom,Upgrade,Bronze,30,4,Blackforge,4
Krom,Upgrade,Scale Hide,15,4,Blackforge,4
Mistwalker,Sword,Fine Wood,3,1,Blackforge,1
Mistwalker,Sword,Iron,15,1,Blackforge,1
Mistwalker,Sword,Refined Eitr,10,1,Blackforge,1
Mistwalker,Sword,Wisp,3,1,Blackforge,1
Mistwalker,Upgrade,Iron,10,2,Blackforge,2
Mistwalker,Upgrade,Refined Eitr,5,2,Blackforge,2
Mistwalker,Upgrade,Wisp,1,2,Blackforge,2
Mistwalker,Upgrade,Iron,20,3,Blackforge,3
Mistwalker,Upgrade,Refined Eitr,10,3,Blackforge,3
Mistwalker,Upgrade,Wisp,2,3,Blackforge,3
Mistwalker,Upgrade,Iron,30,4,Blackforge,4
Mistwalker,Upgrade,Refined Eitr,15,4,Blackforge,4
Mistwalker,Upgrade,Wisp,3,4,Blackforge,4
Needle Arrow,Arrow,Needle,4,4,Workbench,1
Needle Arrow,Arrow,Feathers,2,4,Workbench,1
Obsidian Arrow,Arrow,Wood,8,3,Workbench,1
Obsidian Arrow,Arrow,Obsidian,4,3,Workbench,1
Obsidian Arrow,Arrow,Feathers,2,3,Workbench,1
Poison Arrow,Arrow,Wood,8,3,Workbench,1
Poison Arrow,Arrow,Obsidian,4,3,Workbench,1
Poison Arrow,Arrow,Feathers,2,3,Workbench,1
Poison Arrow,Arrow,Ooze,2,3,Workbench,1
Porcupine,Club,Fine Wood,5,4,Forge,1
Porcupine,Club,Iron,20,4,Forge,1
Porcupine,Club,Needle,5,4,Forge,1
Porcupine,Club,Linen Thread,10,4,Forge,1
Porcupine,Upgrade,Iron,2,5,Forge,2
Porcupine,Upgrade,Needle,2,5,Forge,2
Porcupine,Upgrade,Iron,4,6,Forge,3
Porcupine,Upgrade,Needle,4,6,Forge,3
Porcupine,Upgrade,Iron,6,7,Forge,4
Porcupine,Upgrade,Needle,6,7,Forge,4
Serpent Scale Shield,Shield,Fine Wood,10,3,Forge,1
Serpent Scale Shield,Shield,Iron,4,3,Forge,1
Serpent Scale Shield,Shield,Serpent Scale,8,3,Forge,1
Serpent Scale Shield,Upgrade,Fine Wood,10,4,Forge,2
Serpent Scale Shield,Upgrade,Iron,2,4,Forge,2
Serpent Scale Shield,Upgrade,Serpent Scale,4,4,Forge,2
Serpent Scale Shield,Upgrade,Fine Wood,20,5,Forge,3
Serpent Scale Shield,Upgrade,Iron,4,5,Forge,3
Serpent Scale Shield,Upgrade,Serpent Scale,8,5,Forge,3
Silver Arrow,Arrow,Wood,8,3,Forge,1
Silver Arrow,Arrow,Silver,1,3,Forge,1
Silver Arrow,Arrow,Feathers,2,3,Forge,1
Silver Knife,Knife,Wood,2,3,Forge,1
Silver Knife,Knife,Silver,10,3,Forge,1
Silver Knife,Knife,Leather Scraps,3,3,Forge,1
Silver Knife,Knife,Iron,2,3,Forge,1
Silver Knife,Upgrade,Wood,1,4,Forge,2
Silver Knife,Upgrade,Silver,5,4,Forge,2
Silver Knife,Upgrade,Leather Scraps,1,4,Forge,2
Silver Knife,Upgrade,Iron,1,4,Forge,2
Silver Knife,Upgrade,Wood,2,5,Forge,3
Silver Knife,Upgrade,Silver,10,5,Forge,3
Silver Knife,Upgrade,Leather Scraps,2,5,Forge,3
Silver Knife,Upgrade,Iron,2,5,Forge,3
Silver Knife,Upgrade,Wood,3,6,Forge,4
Silver Knife,Upgrade,Silver,15,6,Forge,4
Silver Knife,Upgrade,Leather Scraps,3,6,Forge,4
Silver Knife,Upgrade,Iron,3,6,Forge,4
Silver Shield,Shield,Fine Wood,10,3,Forge,1
Silver Shield,Shield,Silver,8,3,Forge,1
Silver Shield,Upgrade,Fine Wood,10,4,Forge,2
Silver Shield,Upgrade,Silver,4,4,Forge,2
Silver Shield,Upgrade,Fine Wood,20,5,Forge,3
Silver Shield,Upgrade,Silver,8,5,Forge,3
Silver Sword,Sword,Wood,2,3,Forge,1
Silver Sword,Sword,Silver,40,3,Forge,1
Silver Sword,Sword,Leather Scraps,3,3,Forge,1
Silver Sword,Sword,Iron,5,3,Forge,1
Silver Sword,Sword,Wood,1,4,Forge,2
Silver Sword,Sword,Silver,20,4,Forge,2
Silver Sword,Sword,Leather Scraps,1,4,Forge,2
Silver Sword,Sword,Iron,3,4,Forge,2
Silver Sword,Sword,Wood,2,5,Forge,3
Silver Sword,Sword,Silver,40,5,Forge,3
Silver Sword,Sword,Leather Scraps,2,5,Forge,3
Silver Sword,Sword,Iron,6,5,Forge,3
Silver Sword,Sword,Wood,3,6,Forge,4
Silver Sword,Sword,Silver,60,6,Forge,4
Silver Sword,Sword,Leather Scraps,3,6,Forge,4
Silver Sword,Sword,Iron,6,6,Forge,4
Skoll And Hati,Knife,Fine Wood,4,1,Blackforge,1
Skoll And Hati,Knife,Iron,10,1,Blackforge,1
Skoll And Hati,Knife,Blackmetal,10,1,Blackforge,1
Skoll And Hati,Upgrade,Iron,4,2,Blackforge,2
Skoll And Hati,Upgrade,Blackmetal,4,2,Blackforge,2
Skoll And Hati,Upgrade,Iron,8,3,Blackforge,3
Skoll And Hati,Upgrade,Blackmetal,8,3,Blackforge,3
Skoll And Hati,Upgrade,Iron,12,4,Blackforge,4
Skoll And Hati,Upgrade,Blackmetal,12,4,Blackforge,4
Spinesnap,Bow,Fine Wood,10,1,Blackforge,1
Spinesnap,Bow,Bone Fragments,40,1,Blackforge,1
Spinesnap,Bow,Refined Eitr,10,1,Blackforge,1
Spinesnap,Upgrade,Fine Wood,5,2,Blackforge,2
Spinesnap,Upgrade,Bone Fragments,20,2,Blackforge,2
Spinesnap,Upgrade,Fine Wood,10,3,Blackforge,3
Spinesnap,Upgrade,Bone Fragments,40,3,Blackforge,3
Spinesnap,Upgrade,Fine Wood,15,4,Blackforge,4
Spinesnap,Upgrade,Bone Fragments,60,4,Blackforge,4
Staff Of Embers,Magic,Yggdrasil Wood,20,1,Galdr Table,1
Staff Of Embers,Magic,Surtling Core,4,1,Galdr Table,1
Staff Of Embers,Magic,Refined Eitr,16,1,Galdr Table,1
Staff Of Embers,Upgrade,Yggdrasil Wood,10,2,Galdr Table,2
Staff Of Embers,Upgrade,Surtling Core,2,2,Galdr Table,2
Staff Of Embers,Upgrade,Refined Eitr,8,2,Galdr Table,2
Staff Of Embers,Upgrade,Yggdrasil Wood,20,3,Galdr Table,3
Staff Of Embers,Upgrade,Surtling Core,4,3,Galdr Table,3
Staff Of Embers,Upgrade,Refined Eitr,16,3,Galdr Table,3
Staff Of Embers,Upgrade,Yggdrasil Wood,30,4,Galdr Table,4
Staff Of Embers,Upgrade,Surtling Core,6,4,Galdr Table,4
Staff Of Embers,Upgrade,Refined Eitr,24,4,Galdr Table,4
Staff Of Frost,Magic,Yggdrasil Wood,20,1,Galdr Table,1
Staff Of Frost,Magic,Freeze Gland,4,1,Galdr Table,1
Staff Of Frost,Magic,Refined Eitr,16,1,Galdr Table,1
Staff Of Frost,Upgrade,Yggdrasil Wood,10,2,Galdr Table,2
Staff Of Frost,Upgrade,Freeze Gland,2,2,Galdr Table,2
Staff Of Frost,Upgrade,Refined Eitr,8,2,Galdr Table,2
Staff Of Frost,Upgrade,Yggdrasil Wood,20,3,Galdr Table,3
Staff Of Frost,Upgrade,Freeze Gland,4,3,Galdr Table,3
Staff Of Frost,Upgrade,Refined Eitr,16,3,Galdr Table,3
Staff Of Frost,Upgrade,Yggdrasil Wood,30,4,Galdr Table,4
Staff Of Frost,Upgrade,Freeze Gland,6,4,Galdr Table,4
Staff Of Frost,Upgrade,Refined Eitr,24,4,Galdr Table,4
Staff Of Protection,Magic,Yggdrasil Wood,20,1,Galdr Table,1
Staff Of Protection,Magic,Blood Clot,4,1,Galdr Table,1
Staff Of Protection,Magic,Refined Eitr,16,1,Galdr Table,1
Staff Of Protection,Upgrade,Yggdrasil Wood,10,2,Galdr Table,2
Staff Of Protection,Upgrade,Blood Clot,2,2,Galdr Table,2
Staff Of Protection,Upgrade,Refined Eitr,8,2,Galdr Table,2
Stagbreaker,2 Handed Club,Core Wood,20,2,Workbench,1
Stagbreaker,2 Handed Club,Deer Trophy,5,2,Workbench,1
Stagbreaker,2 Handed Club,Leather Scraps,2,2,Workbench,1
Stagbreaker,Upgrade,Core Wood,5,3,Workbench,2
Stagbreaker,Upgrade,Deer Trophy,2,3,Workbench,2
Stagbreaker,Upgrade,Leather Scraps,1,3,Workbench,2
Stagbreaker,Upgrade,Bone Fragments,10,3,Workbench,2
Stagbreaker,Upgrade,Core Wood,10,4,Workbench,3
Stagbreaker,Upgrade,Deer Trophy,4,4,Workbench,3
Stagbreaker,Upgrade,Leather Scraps,2,4,Workbench,3
Stagbreaker,Upgrade,Bone Fragments,20,4,Workbench,3
Stagbreaker,Upgrade,Core Wood,15,5,Workbench,4
Stagbreaker,Upgrade,Deer Trophy,6,5,Workbench,4
Stagbreaker,Upgrade,Leather Scraps,3,5,Workbench,4
Stagbreaker,Upgrade,Bone Fragments,30,5,Workbench,4
Stone Axe,Axe,Wood,5,1,Player,1
Stone Axe,Axe,Stone,4,1,Player,1
Stone Axe,Upgrade,Stone,2,2,Workbench,2
Stone Axe,Upgrade,Stone,4,3,Workbench,3
Stone Axe,Upgrade,Stone,6,4,Workbench,4
Tankard,Tool,Fine Wood,5,1,Workbench,1
Tankard,Tool,Resin,2,1,Workbench,1
Torch,Tool,Wood,1,NA,Player,1
Torch,Tool,Resin,1,NA,Player,1
Wooden Arrow,Arrow,Wood,8,1,Workbench,1
Wooden Shield,Shield,Wood,10,1,Workbench,1
Wooden Shield,Shield,Resin,4,1,Workbench,1
Wooden Shield,Shield,Leather Scraps,4,1,Workbench,1
Wooden Shield,Upgrade,Wood,5,2,Workbench,2
Wooden Shield,Upgrade,Resin,2,2,Workbench,2
Wooden Shield,Upgrade,Leather Scraps,2,2,Workbench,2
Wooden Shield,Upgrade,Wood,10,3,Workbench,3
Wooden Shield,Upgrade,Resin,4,3,Workbench,3
Wooden Shield,Upgrade,Leather Scraps,4,3,Workbench,3
Wooden Tower,Shield,Wood,10,1,Workbench,1
Wooden Tower,Shield,Leather Scraps,6,1,Workbench,1
Wooden Tower,Upgrade,Wood,5,2,Workbench,2
Wooden Tower,Upgrade,Leather Scraps,3,2,Workbench,2
Wooden Tower,Upgrade,Wood,10,3,Workbench,3
Wooden Tower,Upgrade,Leather Scraps,6,3,Workbench,3
